SampleName,FindResourceExW,LdrLoadDll,LdrGetProcedureAddress,NtAllocateVirtualMemory,RegOpenKeyExA,LdrGetDllHandle,GetSystemTimeAsFileTime,RegOpenKeyExW,RegQueryValueExW,RegCloseKey,GetSystemInfo,NtOpenDirectoryObject,RegQueryValueExA,GetSystemDirectoryW,NtClose,NtUnmapViewOfSection,NtFreeVirtualMemory,WSAStartup,NtQuerySystemInformation,NtOpenKey,NtQueryValueKey,GlobalMemoryStatusEx,NtDuplicateObject,NtCreateThreadEx,NtResumeThread,SHGetFolderPathW,GetVolumeNameForVolumeMountPointW,GetNativeSystemInfo,NtOpenProcess,GetFileAttributesW,SetErrorMode,NtCreateFile,GetFileSizeEx,NtReadFile,NtCreateMutant,NtOpenMutant,NtProtectVirtualMemory,CreateDirectoryW,RegCreateKeyExW,GetComputerNameW,NtQueryInformationFile,SetFileAttributesW,DeleteFileW,NtWriteFile,GetFileInformationByHandleEx,SetFileInformationByHandle,CreateProcessInternalW,GetFileVersionInfoSizeW,CreateThread,RegSetValueExW,GetTempPathW,WriteProcessMemory,NtGetContextThread,NtSetContextThread,NtTerminateProcess,LdrUnloadDll,CreateToolhelp32Snapshot,Process32FirstW,Process32NextW,CreateRemoteThread,CryptAcquireContextW,CryptCreateHash,CryptHashData,NtDelayExecution,CoInitializeEx,FindFirstFileExW,CoCreateInstance,LookupAccountSidW,socket,closesocket,NtDeviceIoControlFile,bind,getsockname,UuidCreate,listen,NtQueryKey,NtOpenKeyEx,RegDeleteValueW,FindWindowW,GetForegroundWindow,GetSystemMetrics,GetKeyState,GetCursorPos,EnumWindows,LoadStringW,RegDeleteKeyW,OpenSCManagerW,OpenServiceW,SendNotifyMessageW,CoUninitialize,NtSetValueKey,FindResourceW,LoadResource,SizeofResource,CreateActCtxW,DrawTextExW,RegEnumKeyW,NtDeleteKey,GetUserNameW,NtOpenFile,NtQueryDirectoryFile,NtOpenThread,NtQueryAttributesFile,NtCreateSection,NtMapViewOfSection,IsDebuggerPresent,DeviceIoControl,SetUnhandledExceptionFilter,NtEnumerateValueKey,NtCreateKey,NtEnumerateKey,GetSystemWindowsDirectoryW,GetVolumePathNamesForVolumeNameW,SHGetSpecialFolderLocation,GetFileType,GetFileSize,SetFilePointer,NtSetInformationFile,timeGetTime,RegEnumKeyExW,__exception__,ReadProcessMemory,NtTerminateThread,sendto,SetWindowsHookExW,UnhookWindowsHookEx,GetSystemWindowsDirectoryA,FindResourceA,RemoveDirectoryA,GetSystemDirectoryA,SetFileTime,RegCreateKeyExA,RegSetValueExA,RegDeleteValueA,OutputDebugStringA,CopyFileA,GetComputerNameA,GetUserNameA,FindWindowA,NtOpenSection,LoadStringA,OleInitialize,SearchPathW,SetWindowsHookExA,NtWriteVirtualMemory,RegEnumKeyExA,RegQueryInfoKeyW,RegEnumValueW,RtlAddVectoredContinueHandler,GetShortPathNameW,GetFileAttributesExW,CopyFileW,ShellExecuteExW,LookupPrivilegeValueW,CoInitializeSecurity,CoGetClassObject,CoCreateInstanceEx,WSASocketW,setsockopt,GetTimeZoneInformation,ioctlsocket,GetAdaptersAddresses,GetBestInterfaceEx,getaddrinfo,FindResourceExA,MessageBoxTimeoutW,GetAsyncKeyState,GetKeyboardState,RegQueryInfoKeyA,WriteConsoleA,SetEndOfFile,NtQueueApcThread,GetFileVersionInfoW,Module32FirstW,Module32NextW,GetAddrInfoW,Thread32First,Thread32Next,NtSuspendThread,GlobalMemoryStatus,RtlAddVectoredExceptionHandler,CryptAcquireContextA,CryptExportKey,NtReadVirtualMemory,FindWindowExA,GetVolumePathNameW,WriteConsoleW,IWbemServices_ExecQuery,FindWindowExW,InternetOpenA,InternetSetOptionA,OpenSCManagerA,OpenServiceA,InternetQueryOptionA,InternetOpenUrlA,RtlCreateUserThread,GetFileInformationByHandle,ControlService,NtMakeTemporaryObject,WSARecvFrom,WSASendTo,NtDeleteValueKey,DeleteService,SetStdHandle,GetDiskFreeSpaceExW,gethostbyname,send,DrawTextExA,RegEnumValueA,RegDeleteKeyA,MessageBoxTimeoutA,RegisterHotKey,WSASocketA,MoveFileWithProgressW,InternetConnectA,InternetCloseHandle,SetFilePointerEx,IWbemServices_ExecMethod,InternetGetConnectedState,RtlDecompressBuffer,CryptDecrypt,CryptEncrypt,GetUserNameExW,CertOpenSystemStoreW,ObtainUserAgentString,InternetCrackUrlA,connect,select,InternetOpenW,InternetSetStatusCallback,InternetConnectW,HttpOpenRequestW,HttpSendRequestW,HttpQueryInfoA,StartServiceA,CertOpenSystemStoreA,RtlRemoveVectoredExceptionHandler,HttpOpenRequestA,HttpSendRequestA,RemoveDirectoryW,NetUserGetInfo,InternetCrackUrlW,CryptDecodeObjectEx,CryptGenKey,CopyFileExW,SendNotifyMessageA,StartServiceW,GetFileVersionInfoSizeExW,GetFileVersionInfoExW,CertControlStore,InternetGetConnectedStateExA,CertOpenStore,CertCreateCertificateContext,CreateDirectoryExW,NetShareEnum,ReadCabinetState,URLDownloadToFileW,COleScript_Compile,GetAdaptersInfo,recv,GetDiskFreeSpaceW,shutdown,NtQueryMultipleValueKey,CreateServiceA,CreateJobObjectW,SetInformationJobObject,AssignProcessToJobObject,InternetReadFile,DeleteUrlCacheEntryA,RtlCreateUserProcess
1fbad40d75a8b718b559ef97ae2c6184,21,217,6573,418,79,4715,225,220,265,567,29,3,69,23,3207,14,77,5,10,385,753,3,125,10,16,23,24,10,363,39,76,47,3,73,530,10,107,5,339,1,15,1,1,6737,2,1,9,2,48,333,1,85,1,1,8,39,11,11,477,15,1,1,2,706,64,9,136,112,12,8,20,4,4,25,2,1315,1049,1,55,1267,1634,471,81,9,70,7,18,18,8,46,75,143,153,105,8,191,1,16,2,52,11,1,10,29,29,29,211,7,7,42,35,36,48,8,6,4,8,4,2,1,6,6585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00c599951a5eb0a312739ef978546f39,69,140,6125,188,79,4621,66,164,186,598,16,3,68,9,1998,1,29,5,5,203,388,3,72,5,12,23,9,5,296,17,20,29,3,67,376,10,102,5,410,1,6,1,1,6560,2,1,4,2,40,388,1,65,1,1,2,15,9,9,378,11,4,4,11,623,31,8,44,116,12,8,11,4,4,9,2,603,496,1,5,1203,1619,598,124,4,52,2,5,5,3,27,14,116,116,105,7,88,0,2,0,11,9,0,2,8,8,29,219,2,2,6,5,7,8,2,3,1,2,1,0,0,2,6411,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6bd0085d57593d91bf2c1987143192c4,23,221,872,379,11,165,263,141,105,139,30,1,13,30,1306,6,50,0,11,237,553,0,64,9,11,6,18,7,24,43,90,41,0,34,112,0,29,5,37,0,19,5,4,6,0,0,15,0,12,36,1,18,2,2,15,41,0,0,0,4,0,0,0,863,65,0,150,0,0,0,15,0,0,22,0,1283,912,0,76,1280,680,646,109,13,61,9,20,20,12,47,80,150,184,127,9,30,0,14,0,70,3,0,7,33,33,4,8,10,8,46,35,44,48,10,5,7,14,7,2,0,12,2,0,0,0,0,0,39,2,7,1,5,4,1,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6d0e467d2bb49bfd9a56eaa726848bc4,22,170,841,432,36,97,157,123,89,157,24,2,32,23,942,13,115,0,7,166,415,0,44,5,6,7,15,6,11,44,83,31,0,13,90,3,25,5,41,0,15,3,2,10,0,0,7,0,10,37,1,4,1,1,15,40,2,2,63,1,0,0,0,614,52,0,88,0,0,0,12,0,0,15,0,653,491,0,13,1310,569,597,117,12,67,5,13,13,5,44,53,142,168,123,6,120,1,12,2,61,5,1,7,25,27,1,5,6,7,34,27,37,40,8,7,5,10,5,2,1,7,0,1,0,0,1,0,36,2,3,1,1,1,1,0,0,0,0,0,1,1,1,1,1,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6f1cc4ecf8dc7edb512cff16cbd7cb9e,16,119,1149,259,8,399,37,294,403,234,183,3,3,13,402,456,23,5,2,55,396,0,20,1,13,4,3,2,36,22,110,44,0,30,25,6,34,1,5,17,4,2,3,4,0,0,3,0,23,3,1,0,0,0,3,18,0,0,0,0,2,8,4,1070,16,38,36,0,0,8,34,0,0,3,0,60,119,0,0,219,27,0,0,0,3,0,1,1,0,4,12,0,25,17,5,5,0,0,0,10,0,4,0,22,465,3,0,4,2,12,0,18,8,0,8,14,1,2,0,62,0,10,0,0,0,0,0,33,1,3,2,1,1,0,0,0,0,0,512,4,0,0,0,0,0,0,12,8,2,2,10,1,1,1,1,17,4,12,8,2,2,8,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6f6d555dc1b403889ac83d2f10538589,0,117,729,489,347,321,37,419,619,586,192,3,172,12,574,43,91,5,285,164,134,6,16,1,7,18,3,3,44,57,134,76,0,30,23,4,40,1,5,1,3,2,4,3,0,0,3,0,9,28,1,0,0,0,9,38,0,0,0,0,2,0,0,2166,12,45,6,12,0,8,17,0,0,4,0,13,33,0,0,186,0,372,0,93,234,0,5,5,0,3,53,0,14,18,6,0,0,0,0,14,3,0,16,48,48,2,0,4,0,0,0,24,8,0,8,15,1,1,0,50,1,200,0,0,0,0,0,35,2,3,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,168,19,29,2,2,13,15,1,1,2,0,0,11,62,2,0,0,0,8,0,2,433881,93,164,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07f398af7e2b789d550b8b3e6f0465e4,28,143,1015,386,73,246,90664,231,426,204,129,3,21,21,580,73,46,4,11,39,301,6,17,1,8,11,0,3,7,81,213,111,0,36,28,5,22,1,1,3,22,3,4,179,0,0,2,57,14,1,3,0,12,0,0,12,2,0,0,0,2,1,1,71,12,212,1,0,0,4,28,0,0,1,0,9,45,0,0,58,320,0,1,1,29,0,1,1,0,5,0,6,43,19,8,128,0,0,2,11,0,14,1,83,85,2,0,3,74,8,0,16,0,0,6,91,1,1,0,26,0,110009,0,0,0,0,0,29,1,3,2,1,1,0,0,0,0,0,0,11,0,2,33,1,0,0,6,7,1,2,11,1,0,1,0,0,0,4,2,2,0,6,4,1,0,0,0,8,0,0,1,1,57,2,110,1,1,602,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7a1fcc3046dcc5daaa4ce5f6abb0566d,25,108,613,383,47,143,52,123,152,102,85,1,1,14,430,46,83,3,12,35,146,3,15,2,4,4,0,2,4,86,121,70,0,11,8,3,1147,0,1,0,2,1,4,130,0,0,1,41,7,0,2,0,7,0,0,13,2,0,0,0,0,6,17,89,6,0,1,0,0,0,15,0,0,1,0,56,57,0,0,92,290,0,1,1,44,0,1,1,0,3,0,6,31,5,8,73,0,0,0,157,155,9,8,56,59,1,1,2,2,0,0,8,0,0,0,46,0,1,0,11,0,3663,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,1,3,1,2,4,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,13,0,0,0,0,40,2,80,1,1,621,7,0,1,1,5,28089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7a598e26d7959b528e9a7a875303d6ad,12,51,177,50,1,21,29,24,45,28,5,1,1,5,416,9,18,2,2,119,117,1,11,1,2,0,3,1,1,10,47,39,0,193,5,3,7,7,6,1,3,3,1,56,0,0,8,4,3,0,1,0,0,0,20,21,0,0,0,0,0,0,0,15,5,112,19,0,0,0,36,2,2,1,2,97,86,0,0,1,160,27,0,2,239,0,0,0,0,4,0,0,11,0,2,5,0,0,0,25,24,1,0,11,12,0,0,5,0,0,0,6,8,0,52,5,230,7,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,4,2,0,0,0,0,2,1,0,0,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,8,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2af3aa23286a216c8995c178490593fc,18,248,1039,520,14,161,283,169,160,176,35,1,16,30,1477,21,77,0,10,222,591,0,69,8,10,6,24,9,18,65,146,54,0,40,168,0,28,5,47,0,28,5,4,6,0,0,14,0,16,61,1,18,2,2,27,62,0,0,0,4,0,0,0,852,77,0,152,0,0,0,24,0,0,24,0,1038,757,0,65,1173,730,610,112,16,75,7,21,21,8,58,87,177,205,127,9,105,2,20,4,101,5,1,10,44,44,4,8,9,8,54,40,56,64,16,8,10,20,10,4,2,16,2,0,0,0,0,0,39,2,7,1,5,4,1,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
